,Name,Genre,Revenue,Director,Tomatometer,Audience
0,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
1,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
2,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
3,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
4,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
5,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
6,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
7,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,74
8,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,74
9,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
10,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
11,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,96
12,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
13,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
14,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
15,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
16,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
17,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
18,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
19,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
20,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
21,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
22,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
23,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
24,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
25,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
26,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,74
27,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,74
28,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
29,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
30,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,96
31,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
32,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
33,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
34,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
35,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
36,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
37,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
38,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
39,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
40,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
41,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
